Name,Gender,Reason,Dates,Doc_title,Doc_number,Doc_url,Nationality
Brigadier General Jawdat  Ibrahim  SAFI,male,"Ordered troops to shoot at protestors in and around Damascus, including Mo’adamiyeh, Douma, Abasiyeh, Duma.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Major General Muhammad  (a.k.a. Mohammad, Muhammad, Mohammed) Ali  DURGHAM",male,"Ordered troops to shoot at protestors in and around Damascus, including Mo’adamiyeh, Douma, Abasiyeh, Duma.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Major General Ramadan  Mahmoud  RAMADAN,male,Ordered troops to shoot protestors in Baniyas and Deraa.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Major General Naim  (a.k.a. Naaeem, Naeem, Na’eem, Naaim, Na’im) Jasem  SULEIMAN",male,Gave orders to troops to shoot protestors in Douma.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Brigadier General Jihad  Mohamed  (a.k.a Mohammad, Muhammad, Mohammed) SULTAN",male,Gave orders to troops to shoot protestors in Douma.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Major General Fo’ad  (a.k.a. Fouad, Fu’ad) HAMOUDEH  (a.k.a. Hammoudeh, Hammoude, Hammouda, Hammoudah)",male,Gave orders to troops to shoot protestors in Idlib at the beginning of September 2011.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Major General Bader  AQEL,male,Gave soldiers orders to pick up the bodies and hand them over to the mukhabarat and responsible for the violence in Bukamal.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Ghassan  AFIF  (a.k.a. Afeef),male,"Commander of military operations in Homs, Baniyas and Idlib.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Brigadier General Mohamed  (a.k.a. Mohammad, Muhammad, Mohammed) MAARUF  (a.k.a. Maarouf, Ma'ruf)",male,Commander of military operations in Homs. Gave orders to shoot protestors in Homs.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Yousef  ISMAIL  (a.k.a. Ismael),male,Gave orders to troops to shoot at houses and people on roofs during a funeral in Talbiseh for protesters killed the previous day.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Jamal YUNES,male,Gave orders to troops to shoot at protestors in Mo'adamiyeh.; Head of the Military Security Committee in Hama in 2018.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Ali  DAWWA,male,Gave orders to troops to shoot protestors in Al‐Herak.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Major General Mohamed  (a.k.a. Mohammad, Muhammad, Mohammed) KHADDOR  (a.k.a. Khaddour, Khaddur, Khadour, Khudour)",male,Gave orders to troops to beat protesters with sticks and then arrest them. Responsible for repression of peaceful protestors in Douma.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Wafiq  (a.k.a. Wafeeq) NASSER,male,"As Head of the Suwayda Regional Branch of the Department for Military Intelligence, responsible for arbitrary detention and torture of detainees in Suwayda.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Ahmed  (a.k.a. Ahmad) DIBE  (a.k.a. Dib, Deeb)",male,"As Head of the Deraa Regional Branch of the General Security Directorate, responsible for arbitrary detention and torture of detainees in Deraa.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Makhmoud  (a.k.a. Mahmoud) AL‐KHATTIB  (a.k.a. al‐Khatib, al‐Khateeb)",male,"As Head of the Investigative Branch of the Political Security Directorate, responsible for detention and torture of detainees.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Mohamed  (a.k.a. Mohammad, Muhammad, Mohammed) Heikmat  (a.k.a. Hikmat, Hekmat) IBRAHIM",male,"Head of the police of Al‐Hassaka. Major General. As former Head of the Operations Branch of the Political Security Directorate, was responsible for detention and torture of detainees.",23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Nasser  (a.k.a. Naser) AL‐ALI,male,Head of the Political Security Directorate since July 2019. Responsible for detention and torture of detainees.,23-01-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr. Wael  Nader  AL–HALQI  (a.k.a. al‐Halki),male,"Former Prime Minister, in office until 3.7.2016, and former Minister of Health. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population. Chair of the Board of Trustees of the Qasyoun Private University.",27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Mohammad Ibrahim AL-SHA’AR,male,"Former Minister of the Interior. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population. Vice Chair of the National Progressive Front of Syria.",01-12-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Mohammad  (a.k.a. Mohamed, Muhammad, Mohammed) AL-JLEILATI",male,"Former Minister of Finance, in office until 9.2.2013. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",01-12-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Imad  Mohammad,male,"Former Prime Minister and Former Minister of Electricity.; As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Omar  Ibrahim  GHALAWANJI,male,"Former Vice Prime Minister for Services Affairs, former Minister of Local Administration, in office until 3.7.2016. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Joseph  SUWAID,male,"Former Minister of State, in office until at least 21.1.2014. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population. Chair of the Amana wing of the Syrian Social Nationalist Party.",23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Hussein  (a.k.a. Hussain) Mahmoud  FARZAT,male,"Former Minister of State, in office until at least 2014. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Mansour  Fadlallah  AZZAM,male,"Minister for Presidency Affairs. As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Emad Abdul-Ghani SABOUNI,male,"Former Minister of Telecommunications and Technology, in office until at least April 2014. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population. Former Head of Planning and International Cooperation Agency (PICC). The PICC is a government agency, affiliated to the Prime Ministry and produces, in particular, the five-year plans that provide the broad guidelines for the Government’s economic and development policies.",27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Tayseer  Qala  AWWAD,male,Former Minister of Justice. Associated with the Syrian regime and its violent repression of the civilian population. Former Head of Military Court. Member of the High Judicial Council.,23-09-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Adnan Hassan MAHMOUD,male,"Former Syrian Ambassador to Iran until 2020. Former Minister of Information in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",23-09-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Khalaf Souleymane ABDALLAH,male,"Former Minister of Labour in power after May 2011 (appointed 27.8.2014). As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",21-10-2014,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Sufian  ALLAW,male,Former Minister of Oil and Mineral Resources. Associated with the Syrian regime and its violent repression of the civilian population.,27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr Adnan  SLAKHO,male,Former Minister of Industry. Former Minister of Education and current business development consultant in the Ministry of Local Administration. Associated with the Syrian regime and its violent repression of the civilian population.,27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr Saleh  AL-RASHED,male,Former Minister of Education and current Head of the International Relations Department at the Faculty of International Relations and Diplomacy at Al-Sham Private University. Associated with the Syrian regime and its violent repression of the civilian population.,27-02-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Ghiath  JERAATLI  (a.k.a. Jer'atli, Jir'atli, Jiraatli)",male,Former Minister of State. Associated with the Syrian regime and its violent repression of the civilian population.,23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Yousef  Suleiman  AL‐AHMAD  (a.k.a. al‐Ahmed),male,Former Minister of State. Associated with the Syrian regime and its violent repression of the civilian population.,23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Hassan (,) AL‐SARI",male,Former Minister of State. Associated with the Syrian regime and its violent repression of the civilian population.,23-03-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Bouthaina  SHAABAN,female,Political and Media Advisor to the President since July 2008 and as such associated with the violent crackdown on the civilian population.,26-06-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Brigadier General Sha’afiq  (a.k.a. Shafiq, Shafik) MASA  (a.k.a. Massa)",male,Head of Branch 215 (Damascus) of the army’s intelligence service. Responsible for the torture of detained opponents. Involved in repressive actions against civilians.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Brigadier General Burhan  QADOUR  (a.k.a. Qaddour, Qaddur)",male,Former Head of Branch 291 (Damascus) of the army’s intelligence service. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Salah  HAMAD,male,Deputy Head of Branch 291 of the army’s intelligence service. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Muhammad  (a.k.a. Mohammed) KHALLOUF  (a.k.a. Abou Ezzat),male,"Former (2009-2014) Head of Branch 235 a.k.a. ‘Palestine’ (Damascus) of the army’s intelligence service, which is at the centre of the army’s apparatus of repression. Directly involved in repression of opponents. Responsible for the torture of opponents in custody.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Major General Riad  (a.k.a. Riyad) AL‐AHMED  (a.k.a. al‐Ahmad),male,Deputy Head of Latakia Branch of the army’s intelligence service. Responsible for the torture and murder of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Abdul-Salam Fajr MAHMOUD,male,"Head of the Security Committee of the Southern Region since December 2020. Former Head of the Bab Tuma (Damascus) Branch of the Syrian Air Force Intelligence Service. Former Head of the Mezze Airport Air Force intelligence investigation branch. Responsible for the torture of opponents in custody. Under international arrest warrant for ‘complicity in acts of torture’, ‘complicity in crimes against humanity’ and ‘complicity in war crimes’.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Jawdat  AL-AHMED  (a.k.a. al-Ahmad),male,Head of the Homs Branch of the Syrian Air Force Intelligence Service. Responsible for the torture of opponents in custody as well as killings of peaceful protesters.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Colonel Qusay Ibrahim MIHOUB,male,High-ranking officer at the Syrian Air Force Intelligence Service. Former Head of the Deraa branch of the air force’s intelligence service (sent from Damascus to Deraa at the start of demonstrations there). Responsible for the torture of opponents in custody as well as the violent repression of peaceful protests in the southern region.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Suhail  (a.k.a. Suheil) AL‐ABDULLAH  (a.k.a. al‐Abdallah),male,Head of the Latakia Branch of the Syrian Air Force Intelligence Service. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Khudr  KHUDR,male,Head of the Latakia branch of the General Intelligence Directorate. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Ibrahim MA'ALA,male,Head of Branch 285 (Damascus) of the General Intelligence Directorate (replaced Brigadier General Hussam Fendi at the end of 2011). Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Firas  AL‐HAMED  (a.k.a. al‐Hamid),male,Head of Branch 318 (Homs) of the General Intelligence Directorate. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Major General Hussam LUQA,male,"Former Head of the Security Committee of the Southern Region from 2018 to 2020. Former Head of the General Security Directorate. Major General. From April 2012 to 2 December 2018, was head of the Homs branch of the Political Security Directorate (succeeded Brigadier General Nasr al-Ali). Since 3 December 2018, head of the Political Security Directorate. Director of the General Intelligence Department since 2019. Responsible for the torture of opponents in custody.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Brigadier General Taha TAHA,male,Deputy assistant to the Head of the Political Security Division. Former site manager of the Latakia branch of the Political Security Directorate. Responsible for the torture of opponents in custody.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Bassel  (a.k.a. Basel) BILAL,male,Police officer at Idlib central prison; has taken part directly in acts of torture of opponents held in Idlib central prison.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Ahmad  (a.k.a. Ahmed) KAFAN,male,Police officer at Idlib central prison; has taken part directly in acts of torture of opponents held in Idlib central prison.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Bassam  AL‐MISRI,male,Police officer at Idlib central prison; has taken part directly in acts of torture of opponents held in Idlib central prison.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Major General Ahmed AL-JARROUCHEH (a.k.a. Ahmad; al-Jarousha, al-Jarousheh, al-Jaroucha, al-Jarouchah, al-Jaroucheh)",male,"Former head of the foreign branch of General Intelligence (Branch 279). As such, responsible for General Intelligence arrangements in Syrian embassies.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
General Ghassan Jaoudat ISMAIL,male,"Former Head of the Syrian Air Force Intelligence Service. Former deputy director of the Air Force Intelligence Service and previously in charge of the missions branch of the Air Force Intelligence Service which, in cooperation with the special operations branch, manages the elite troops of the Air Force Intelligence Service, who play an important role in the repression conducted by the Syrian regime. As such, Ghassan Jaoudat Ismail is one of the top military leaders directly implementing the violent repression of opponents conducted by the Syrian regime as well as practices of disappearance of civilians.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Major General Amer AL-ACHI,male,"Former Governor of the Sweida Governorate, appointed by President Bashar al-Assad in July 2016. Former Head of the intelligence branch of the Syrian Air Force Intelligence Service (2012-2016). Through his role in the Air Force Intelligence Service, Amer al-Achi is implicated in the repression of the Syrian opposition.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"General Mohammed  (a.k.a. Muhammad, Mohamed, Mohammad) Ali  NASR  (a.k.a. Mohammed Ali Naser)",male,"Close to Maher al-Assad, younger brother of President Bashar al-Assad. Most of his career has been spent in the Republican Guard. In 2010 he joined the internal branch (Branch 251) of the General Intelligence Directorate which is responsible for combatting the political opposition. As one of its senior officers, General Mohammed Ali Nasr is directly involved in the repression of opponents.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
General Issam  HALLAQ,male,Air Force Chief of Staff since 2010. Commands air operations against opponents.,24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Ezzedine  ISMAEL  (a.k.a. Ismail),male,"Retired general, longstanding member of the managerial staff of the Air Force Intelligence Service, of which he became the head in the early 2000s. Was appointed political and security adviser to the President in 2006. As political and security adviser to President Bashar al‐Assad, Ezzedine Ismael is implicated in the political repression conducted by the Syrian regime against the opposition.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Samir  (a.k.a. Sameer) JOUMAA  (a.k.a. Jumaa, Jum’a, Joum’a)",male,"For almost 20 years he has been head of the office of Mohammad Nassif Kheir Bek, one of the main security advisers of President Bashar al-Assad (and officially deputy to the Vice President, Farouk al-Sharaa). Samir Joumaa’s closeness to President Bashar al-Assad and Mohammed Nassif Kheir Bek means that he is implicated in the policy of repression conducted by the Syrian regime against its opponents.",24-07-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr. Qadri  (a.k.a. Kadri) JAMIL  (a.k.a. Jameel),male,"Former Vice Prime Minister for Economic Affairs, former Minister of Domestic Trade and Consumer Protection. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Mohammad  (a.k.a. Mohamed, Muhammad, Mohammed) Abdul-Sattar  (a.k.a. Abd al-Sattar) AL SAYED  (a.k.a. Al Sayyed)",male,"Minister of Religious Endowments. As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Hala Mohammad,female,"Former Minister of Tourism. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Bassam  HANNA,male,"Former Minister of Water Resources in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Subhi  Ahmad  AL ABDALLAH  (a.k.a. al-Abdullah),male,"Former Minister of Agriculture and Agrarian Reform. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Mohammad  (a.k.a. Muhammad, Mohamed, Mohammed) Yahiya  (a.k.a. Yehya, Yahya, Yihya, Yihia, Yahia) MOALLA  (a.k.a. Mu'la, Ma'la, Muala, Maala, Mala)",male,"Former Minister of Higher Education. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr. Hazwan  AL WEZ  (a.k.a. Al Wazz),male,"Former Minister of Education, appointed in July 2016.; As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Mahmoud  Ibraheem  (a.k.a. Ibrahim) SA’IID  (a.k.a. Said, Sa'eed, Saeed)",male,"Former Minister of Transport in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr. Safwan  AL ASSAF,male,"Former Minister of Housing and Urban Development. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Yasser  (a.k.a. Yaser) AL SIBA’II  (a.k.a. al-Sibai, al-Siba’i, al Sibaei)",male,"Former Minister of Public Works. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Sa’iid  (a.k.a. Sa’id, Sa’eed, Saeed) MA’THI  (a.k.a. Mu’zi, Mu’dhi, Ma’dhi, Ma’zi, Maazi) Hneidi",male,"Former Minister of Oil and Mineral Resources. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Lubana  (a.k.a. Lubanah) MUSHAWEH  (a.k.a. Mshaweh, Mshawweh, Mushawweh)",female,"Former Minister of Culture in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr Jassem Mohammad ZAKARIA,male,"Former Minister of Labour and Social Affairs.; As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Adnan  Abdo  (a.k.a. Abdou) AL SIKHNY  (a.k.a. al‐Sikhni, al‐Sekhny, al‐Sekhni)",male,Former Minister of Industry. As a former Government Minister shares responsibility for the Syrian regime’s violent repression of the civilian population.,16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Najm  (a.k.a. Nejm) Hamad  AL AHMAD  (a.k.a. al‐Ahmed),male,"Former Minister of Justice in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Dr. Abdul‐Salam  AL NAYEF,male,"Former Minister of Health in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Ali HADAR (a.k.a. HAIDAR),male,"Head of the National Reconciliation Agency and former State Minister for National Reconciliation Affairs. Chair of the Intifada wing of the Syrian Social Nationalist Party. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
"Dr. Nazeera  (a.k.a. Nazira, Nadheera, Nadhira) Farah  SARKEES  (a.k.a. Sarkis)",female,"Former State Minister for Environmental Affairs, in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",16-10-2012,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
