Name,Gender,Reason,Dates
JAFARI Reza,male,"Former advisor to the Disciplinary Court for Judges (2012-2022). Member of the ‘Committee for Determining Criminal Web Content’, a body responsible for the censorship of websites and social media. Former Head of special prosecution of cybercrime between 2007 and 2012. Was responsible for the repression of freedom of expression, including through the arrest, detention and prosecution of bloggers and journalists. Persons arrested on suspicion of cybercrime were mistreated and subjected to an unfair judicial process.",23-03-2012
RESHTE-AHMADI Bahram,male,"Judge of an ordinary court of northern Tehran. Former Supervisor of Public Prosecution Office in Tehran. Deputy Head of the Office of Prison Affairs of Tehran Province. Former Deputy Prosecutor in Tehran until 2013. He ran Evin prosecution centre. Was responsible for the denial of rights, including visits and other prisoner’s rights, to human rights defenders and political prisoners.",23-03-2012
RASHIDI AGHDAM Ali Ashraf,male,"Deputy Director of Health, Correction and Education of Tehran Prisons. Former head of Evin Prison (2012-2015). During his tenure, conditions in the prison deteriorated and reports referenced intensified ill-treatment of prisoners. In October 2012, nine female prisoners went on hunger strike in protest of the violation of their rights and violent treatment by prison guards.",12-03-2013
KIASATI Morteza,male,"Judge of branch 54 of the Revolutionary Court of Tehran and of the Ahwaz Revolutionary Court, Branch 4; imposed death sentences on four Arab political prisoners, Taha Heidarian, Abbas Heidarian, Abd al-Rahman Heidarian (three brothers) and Ali Sharifi. They were arrested, tortured and hanged without due process. These cases and the lack of due process were referenced in a report dated 13 September 2012 by the UN Special Rapporteur on human rights in Iran, the UN Secretary General’s report on Iran of 22 August 2012.",12-03-2013
MOUSSAVI Seyed Mohammad Bagher (a.k.a. MOUSAVI Sayed Mohammed Baqir),male,"Ahwaz Revolutionary Court judge, Branch 2 (2011-2015), imposed death sentences on a number of people, including five Ahwazi Arabs, Mohammad Ali Amouri, Hashem Sha’bani Amouri, Hadi Rashedi, Sayed Jaber Alboshoka, Sayed Mokhtar Alboshoka, on 17 March 2012 for ‘activities against national security’ and ‘enmity against God’. The sentences were upheld by Iran’s Supreme Court on 9 January 2013. The five were arrested without charge for over a year, tortured and sentenced without due process. Hadi Rashedi and Hashem Sha’bani Amouri were executed in 2014.",12-03-2013
JAFARI Asadollah,male,"Head of the Judicial Administration in Isfahan and Head of the Resistance Economy Headquarters. Former Attorney General in Isfahan. In that position, he ordered violent reactions against protesters who took to the streets in November 2021 to protest against water shortages. According to some reports, Asadollah Jafari has announced the formation of a special office to investigate the arrested protesters and he ordered the condemnation of some protesters involved in the 2022 protests.; From 2017 to 2021, he held the position of Attorney General in North Khorasan province.; As former Prosecutor of Mazandaran province (2006-2017), Jafari recommended the imposition of the death penalty in cases he prosecuted, which has resulted in many executions including public executions, and in circumstances where the imposition of the death penalty is contrary to international human rights, including by being disproportionate and excessive punishment. Jafari has also been responsible for illegal arrests and violations of the rights of Baha’i detainees from initial arrest to keeping them in solitary confinement in the Intelligence Detention Centre.",12-03-2013
EMADI Hamid Reza (a.k.a. Hamidreza Emadi),male,"Former Press TV Newsroom Director. Former Press TV Senior Producer.; Responsible for producing and broadcasting the forced confessions of detainees, including journalists, political activists and persons belonging to Kurdish and Arab minorities, violating internationally recognised rights to a fair trial and due process. Independent broadcast regulator OFCOM fined Press TV in the UK GBP 100 000  for broadcasting the forced confession of Iranian-Canadian journalist and film-maker Maziar Bahari in 2011, which was filmed in prison whilst Bahari was under duress. NGOs have reported further instances of forced televised confessions by Press TV. Emadi is therefore associated with violating the right to due process and fair trial.; In 2016, he underwent disciplinary proceedings for sexual harassment against his colleague Sheena Shirani, which led to his suspension from the service.",12-03-2013
HAMLBAR Rahim,male,"Judge of Branch 1 of Tabriz Revolutionary Court. Responsible for heavy sentences against Azeri ethnic minority and workers’ rights activists, accusing them of spying, acts against national security, propaganda against the Iranian regime and insulting the leader of Iran. A high profile case involved 20 volunteer earthquake relief workers (following an earthquake in Iran in August 2012) to whom he gave prison sentences for their attempts to assist earthquake victims. The court found the workers guilty of ‘collaboration in assembly and collusion to commit crimes against national security.’",12-03-2013
MUSAVI-TABAR Seyyed Reza,male,"Since 2014, Seyyed Reza Musavi-Tabar has been the representative of the Disciplinary Prosecutor for Judges in Shiraz. Former Head of the Revolutionary Prosecution of Shiraz. Responsible for illegal arrests and ill treatment of political activists, journalists, human rights defenders, Baha’is and prisoners of conscience, who were harassed, tortured, interrogated and denied access to lawyers and due process. Musavi-Tabar signed judicial orders in the notorious No 100 Detention Centre (a male prison), including an order to detain female Baha’i prisoner Raha Sabet for three years in solitary confinement.",12-03-2013
KHORAMABADI Abdolsamad,male,"Deputy Director for Judicial Oversight (since 13 October 2018). Former head of the ‘Commission to Determine the Instances of Criminal Content’, a governmental organisation in charge of online censorship and cyber crime. Under his leadership, the Commission defined ‘cyber crime’ by a number of vague categories that criminalise creation and publication of content deemed inappropriate by the regime. He was responsible for repression and the blocking of numerous opposition sites, electronic newspapers, blogs, sites of human rights NGOs and of Google and Gmail since September 2012. He and the Commission actively contributed to the death in detention of the blogger Sattar Beheshti in November 2012. Thus the Commission he was heading is directly responsible for systemic violations of human rights, in particular by banning and filtering websites to the general public, and occasionally disabling internet access altogether.",12-03-2013
SOLEIMANI Gholamreza,male,"Gholamreza Soleimani is the Head of the Basij Organisation. The Basij Organisation used lethal force to suppress the November 2019 protests in Iran, causing the deaths of and injuries to unarmed protesters and other civilians in many cities across the country. As Head of the Basij Organisation, Gholamreza Soleimani bears responsibility for the violent suppression of the protests and serious human rights violations in Iran.",12-04-2021
SALAMI Hossein (a.k.a. SALAMI Hussain),male,"Hossein Salami has been the Commander in Chief of the IRGC since April 2019, which includes the Basij militia, and is a member of the National Security Council. The IRGC’s regular forces and the Basij militia used lethal force to suppress the November 2019 protests in Iran, causing the deaths of and injuries to unarmed protesters and other civilians in many cities across the country. As a member of the National Security Council, Hossein Salami took part in the sessions that resulted in the orders to use lethal force to suppress the November 2019 protests. Hossein Salami therefore bears responsibility for serious human rights violations in Iran.",12-04-2021
KARAMI Hassan,male,"Hassan Karami is the Commander of the Special Units of the Iranian police force. The Special Units used lethal force to suppress the November 2019 protests in Iran, causing the deaths of and injuries to unarmed protesters and other civilians in many cities across the country. As the Commander of the Special Units, which have caused the deaths of and injuries to unarmed protesters and other civilians, Hassan Karami bears responsibility for serious human rights violations in Iran.",12-04-2021
PAKPOUR Mohammad (a.k.a. PAKPUR Mohammad),male,"Mohammad Pakpour has been Commander in Chief of the IRGC Ground Forces since March 2010. The IRGC’s Ground Forces used lethal force to suppress the November 2019 protests in Iran, causing the deaths of and injuries to unarmed protesters and other civilians in many cities across the country. As Commander in Chief of the IRGC’s Ground Forces, which have used lethal force against unarmed protesters and other civilians, Mohammad Pakpour bears responsibility for serious human rights violations in Iran.",12-04-2021
ASHTARI Hossein,male,"Hossein Ashtari was Commander in Chief of the Iranian police force from March 2015 to January 2023 and is a member of the National Security Council. The police force includes the Emdad Units and the Special Units. Iran’s ordinary police force, the Emdad Units and the Special Units used lethal force to suppress the November 2019 protests in Iran, causing the deaths of and injuries to unarmed protesters and other civilians in many cities across the country. As a member of the National Security Council, Ashtari took part in the sessions that resulted in the orders to use lethal force to suppress the November 2019 protests. Ashtari therefore bears responsibility for serious human rights violations in Iran.",12-04-2021
ZIAEI Gholamreza,male,"Between July 2019 and June 2020, Gholamreza Ziaei was the Director of Evin Prison in Tehran. During his tenure, the already harsh conditions for detainees further deteriorated, including for Narguess Mohammadi. Female prisoners were denied phone contact with their children. Political prisoners were denied weekly visits by relatives, which were only allowed every two months. During the 2009 protests, Ziaei was in charge of the Kahrizak Detention Center, where at least five detainees, who had been arrested in connection with Tehran’s 2009 mass street protests, died after being tortured. From 2017 to 2019, before taking charge of Evin Prison, Ziaei was the Director of Rajaee Shahr Prison in Karaj, west of Tehran, where there have been numerous protests by political prisoners against abuse and inhumane living conditions.",12-04-2021
SHAHVARPOUR Hassan,male,"Brigadier-General Hassan Shahvarpour has been the Commander of the Islamic Revolutionary Guard Corps (IRGC) in Khuzestan province (Vali Asr Corps) since 2009. In 2023, Vali Asr Corps was awarded a certificate by the IRGC Commander-in-Chief for being the most successful Corps managing cyberspace. Hassan Shahvarpour is responsible for commanding the forces, which used machine guns against protesters and other civilians in the city of Mahshahr during the November 2019 protests. Under his command, 148 people were killed by the IRGC by heavy machine gun fire from armoured vehicles encircling fleeing protesters hiding in nearby marshes.",12-04-2021
"VASEGHI Leyla (a.k.a. VASEQI Layla, VASEGHI Leila, VASEGHI Layla)",female,"As the governor of Shahr-e Qods and Head of the City Security Council from September 2019 until November 2021, Leyla Vaseghi ordered the police and other armed forces to use lethal means during the November 2019 protests, causing the deaths of and injuries to unarmed protesters and other civilians. As the governor of Shahr-e Qods and Head of the City Security Council, Vaseghi bears responsibility for serious human rights violations in Iran. In the context of the 2022/2023 protests, she is still remembered by Iranians as having one of the leading roles in violent repression, with a parallel made between her public words and the current repression.",12-04-2021
ROSTAMI CHESHMEH GACHI Mohammed (a.k.a. ROSTAMI Mohammad),male,"Mohammad Rostami Cheshmeh Gachi is the head of Iran’s Morality Police. He was head of the Kermanshah Public Security Police from early 2014 until early 2019 and held senior positions in the Iranian intelligence police.; The Morality Police is part of Iran’s Law Enforcement Forces (LEF) and is a special police unit which enforces the strict dress rules for women, including compulsory wearing of a headscarf. The Morality Police has used unlawful force against women for not complying with Iranian hijab laws, sexual and gender-based violence, arbitrary arrests and detentions, excessive violence and torture.; On 13 September 2022, the Morality Police arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and to her death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to that incident and has been widely documented.; As head of Iran’s Morality Police, Rostami is responsible for the Morality Police’s actions. He therefore bears responsibility for serious human rights violations in Iran.",17-10-2022
RAHIMI Hossein,male,"Brigadier General Hossein Rahimi has been the head of Iran’s Law Enforcement Forces (LEF) in Tehran since 7 August 2017.; The LEF’s response to the September 2022 protests in Tehran was particularly harsh. The LEF’s excessive use of violence to repress those protests resulted in the deaths of multiple people.; As head of the LEF in Tehran, Rahimi is therefore responsible for serious human rights violations in Iran.",17-10-2022
ABDI Abbas,male,"Colonel Abbas Abdi is the head of Iran’s Law Enforcement Forces (LEF) in the district of Divandarreh.; The LEF’s response to the September 2022 protests in Divandarreh was particularly harsh. The LEF’s excessive use of violence to repress those protests resulted in the deaths of multiple people.; As head of the LEF in Divandarreh, Abdi is therefore responsible for serious human rights violations in Iran.",17-10-2022
MIRZAEI Haj Ahmad (a.k.a. MIRZAEI Hajahmad; MIRZAYI Hajj Ahmad),male,"Colonel Haj Ahmed Mirzaei has been the head of the Tehran branch of Iran’s Morality Police since 2018.; The Morality Police is part of Iran’s Law Enforcement Forces (LEF) and is a special police unit which enforces the strict dress rules for women, including compulsory wearing of a headscarf. The Morality Police has used unlawful force against women for not complying with Iranian hijab laws, sexual and gender-based violence, arbitrary arrests and detentions, excessive violence and torture.; On 13 September 2022, the Morality Police arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and to her death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to that incident and has been widely documented.; As head of the Morality Police in Tehran, Mirzaei is responsible for the Morality Police’s actions in Tehran, including in its headquarters where Amini was beaten and mistreated. He therefore bears responsibility for serious human rights violations in Iran.",17-10-2022
ZAREPOUR Issa,male,"Issa Zarepour has been the Iranian Minister of Information and Communications Technology since 25 August 2021.; In his position, he played a key role in the Iranian government’s decision to systematically violate the Iranian people’s freedom of opinion and expression by imposing restrictions on internet access during the protests that followed the death of 22-year old Mahsa Amini on 16 September 2022.; That action further diminished the already very limited space for civil society actors in Iran, including human rights defenders, to gather objective information and communicate, both amongst themselves and with the outside world.; The internet blackout had negative consequences for the enjoyment of human rights in Iran, both directly (namely the impact on freedom of opinion and expression and availability of objective information) and indirectly (namely the increased chance of human rights violations not being documented thereby negatively impacting accountability for human rights violations).; As Minister of Information and Communications Technology, Zarepour is therefore responsible for serious human rights violations in Iran.",17-10-2022
SEPEHR Mohammad-Hossein,male,Mohammad-Hossein Sepehr is the Commander of the Central Training Base of the General Staff of the Armed Forces in Tehran. He is a member of the Islamic Revolutionary Guard Corps (IRGC) and the Basij Resistance Force (a volunteer paramilitary organisation operating under the IRGC with branches throughout Iran).; Sepehr oversees anti-protest training for Iranian security forces and supports a repressive line towards protesters.; He is therefore responsible for serious human rights violations in Iran.,17-10-2022
SAFARI Sayd Ali,male,"Colonel Sayd Ali Safari is the head of Iran’s Law Enforcement Forces (LEF) in Saqqez.; The LEF’s response to the September 2022 protests in Saqqez was particularly harsh. The LEF’s excessive use of violence to repress the protests resulted in the deaths of multiple people.; As head of the LEF in Saqqez, Safari is therefore responsible for serious human rights violations in Iran.",17-10-2022
ADYANI Seyed Alireza (a.k.a. ADIANI Hojjat al-Islam Seyyed Alireza),male,"Seyed Alireza Adyani is the head of the ideological-political office of Iran’s Law Enforcement Forces (LEF).; Adyani is responsible for defining and implementing rules of engagement for police forces. He stated that the LEF needs to be ‘practical’ and ‘effective’ when dealing with adversaries and cheered the Morality Police for doing its job ‘intensely’.; The LEF has used massive brutality against protesters, including those protesting after Mahsa Amini’s death.; He is therefore responsible for serious human rights violations in Iran.",17-10-2022
AZADI Ali,male,"Second Brigadier General Ali Azadi has been the head of Iran’s Law Enforcement Forces (LEF) in Kurdistan since 2019.; During the repression of the September 2022 protests, forces under his command in Kurdistan shot protesters and killed and injured multiple people.; He is therefore responsible for serious human rights violations in Iran.",17-10-2022
SHALIKAR Mohammed Zaman,male,"Colonel Mohammed Zaman Shalikar has been the head of Iran’s Law Enforcement Forces (LEF) in Babol, Mazandaran since 2021.; During demonstrations following the death of Mahsa Amini in September 2022, forces under his command shot, injured and killed protesters in Babol, Mazandaran.; He is therefore responsible for serious human rights violations in Iran.",17-10-2022
HEIDARI Salman,male,"Colonel Salman Heidari is the head of Iran’s Law Enforcement Forces (LEF) in Bukan.; The LEF’s response to the September 2022 protests in Bukan was particularly harsh. The LEF’s excessive use of violence to repress the protests resulted in the death of at least one child and in injuries to multiple people.; As head of the LEF in Bukan, Heidari is therefore responsible for serious human rights violations in Iran.",17-10-2022
VAHIDI Ahmad,male,"Ahmad Vahidi has been the Iranian Minister of Interior since 25 August 2021. As such, he is responsible for Iran’s Law Enforcement Forces (LEF).; Since he took office, an unprecedented number of military and security officials have been appointed to provincial governorships who play key roles in coordinating crowd-control activities by police special forces, the Basij militia and the Islamic Revolutionary Guard Corps (IRGC).; Blatant and severe human rights violations by the LEF, such as the indiscriminate shooting with live ammunition at peaceful protesters, including children, have been widely documented since protests surrounding the death of Mahsa Amini started in mid-September 2022. Over 70 protesters died and hundreds were seriously injured, including children. Since the beginning of the demonstrations, police forces have also arbitrarily detained numerous human rights defenders and journalists. Vahidi has also publicly advocated for a harsh approach towards persons participating in the demonstrations.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
ABNOUSH Salar,male,"Salar Abnoush is the Deputy Commander of the Basij Resistance Force (EU-listed).; The Basij is a volunteer paramilitary organisation operating under the IRGC with branches throughout Iran. It is charged with channelling popular support for the Iranian regime.; The Basij is notorious for its recruitment of volunteers, many of them teenage children, and for human wave attacks during the Iran-Iraq war. After the contested 2009 Iranian presidential elections, the Basij brutally quashed protests and attacked student dormitories. The Basij has two missions: to provide defensive military training to protect the regime against foreign invasion, and to suppress domestic anti-regime activity through street violence and intimidation.; The Basij is one of the forces ordered by the government to quell the September/October 2022 protests. It injured and killed several protesters. Sources indicate that Basij members under Salar Abnoush’s command have committed serious human rights violations in Iran. He is therefore responsible for serious human rights violations in Iran.",14-11-2022
REZAEI Qasem (a.k.a. REZAEI Ghasem),male,"Qasem Rezaei is the Deputy Commander of Iran’s Law Enforcement Forces (LEF).; He directly supervised acts of violence against detainees, including torture and beatings. He justified the actions of the security forces in the wake of the deadly use of force against Iranian protesters and called for continued violence against protesters in May 2022.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
AMANOLLAHI Manouchehr (a.k.a. AMANOLLAHI BAHARVAND Manouchehr),male,"Manouchehr Amanollahi is the Commander of the EU-listed Law Enforcement Forces of the Islamic Republic of Iran (LEF) in the province of Chaharmahal and Bakhtiari.; During his tenure, the LEF suppressed protests in 2021 in the province in response to a lack of water, and in 2022 in response to food rationing. LEF units under Amanollahi’s command used live ammunition against protestors when suppressing the protests, resulting in multiple deaths. As an advisor to LEF leadership, Amanollahi was also involved in the LEF’s response to nationwide protests in November 2019, which resulted in the deaths of hundreds of protestors.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
"HEIDARI Kiyumars (a.k.a. HEYDARI Kioumars, HEYDARI Amir Kyomarth)",male,"Brigadier-General Kiyumars Heidari is the Commander of the Iranian Army’s Ground Forces and directly reports to the Supreme Leader of the Islamic Republic of Iran.; He has publicly admitted to his and his force’s involvement in the violent response to the November 2019 protests, which led to the death of hundreds of protesters. Blatant and severe human rights violations by the forces, such as indiscriminate shooting with live ammunition at peaceful protesters – including children – have been widely documented since protests surrounding the death of Mahsa Amini started mid-September 2022. Over 70 protesters died and hundreds were seriously injured. Army Ground Forces, which are under the control of Heidari, have been involved in suppressing the protests and have killed at least one person. Heidari himself stated that his forces have been used to deal with the 2022 protests.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
MAJID Vahid Mohammad Naser,male,"Vahid Mohammad Naser Majid is head of the Iranian Cyber Police (EU-listed).; The Iranian Cyber Police influences and restricts internet access in Iran and arbitrarily arrests people for expressing online criticism of the Iranian regime. The Cyber Police is engaged in a nationwide series of arrests and prosecutions. It lends support to the Iranian regime in its violent response to nationwide protests against people who speak up in defence of their legitimate rights.; In his function as Head of the Iranian Cyber Police, Vahid Mohammad Naser Majid is therefore responsible for serious human rights violations in Iran.",14-11-2022
NEJAT Hossein (a.k.a. ZIBAYINEJAD Mohammad-Hossein),male,"Brigadier-General Hossein Nejat has been the Deputy Commander of Sarallah, an IRGC-linked, Tehran-based dedicated security apparatus of the Iranian state since 21 June 2020.; Sarallah is essential to Tehran’s security, as the headquarters is responsible for protecting the capital and governmental institutions against any threats such as coups or anti-government protests.; Sarallah troops under the direct command of Nejat are tasked with quelling anti-government protests, including the violent suppressing of peaceful protests in 2022.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
MAROUFI Hossein,male,"General Sardar Hossein Maroufi is the Deputy Head of Mobilisation of the Islamic Revolutionary Guards Corps (IRGC) in the Sistan and Baluchestan province. As such, he is a leading IRGC member in this province.; The Sistan and Baluchestan province has seen some of the most violent crackdowns by Iranian security forces, including IRGC forces, during the 2022 protest wave. On 30 September 2022, the province capital Zahedan witnessed ‘bloody Friday’, when security forces opened fire on a protest forming around Friday prayer. It is estimated that at least 70 protestors were shot and killed. Since then, violence against participants in later protests has continued.; Sardar Hossein Maroufi is among those responsible for the IRGC’s violence against protestors in Sistan and Baluchestan province, in particular around ‘bloody Friday’.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
ABSALAN Parviz,male,"General Parviz Absalan is the Deputy Head of the IRGC in Sistan and Baluchestan province. The IRGC is a central element of the Iranian security forces in that province, where it is also called the ‘Salman army’.; The security forces in Sistan and Baluchestan province have been using brutal violence against peaceful protestors in the round of protests in the autumn of 2022, including against children.; As Deputy Head of the IRGC in Sistan and Baluchestan province, Parviz Absalan is therefore responsible for serious human rights violations in Iran.",14-11-2022
SHAFAHI Ahmad (a.k.a. SHAFAI Ahmad),male,"Brigadier General Ahmad Shafahi is a commander of the IRGC in Sistan and Baluchestan province, and is responsible for public relations. The IRGC is a central element of the Iranian security forces in that province, where it is also called the ‘Salman army’.; The security forces in Sistan and Baluchestan province have been using brutal violence against peaceful protestors in the round of protests in the autumn of 2022, including against children.; As commander of the IRGC in the Sistan and Baluchestan Province, Sardar Ahmed Shafahi is therefore responsible for serious human rights violations in Iran.",14-11-2022
"KOCHZAEI Ebrahim (a.k.a. KOCHZAI Ebrahim, KOUCHAKZAEI Ebrahim)",male,"Colonel Ebrahim Kochzaei was the Head of Iran’s Law Enforcement Forces (LEF) in the city of Chabahar in Sistan and Baluchestan province until 3 December 2022.; The security forces in Sistan and Baluchestan province, including in Chabahar, used brutal violence against peaceful protestors in the protests in autumn 2022, including against children.; Kochzaei is also named as the perpetrator of the rape in September 2022 of a 15-year old girl who was held in police custody in Chabahar.; Ebrahim Kochzaei is therefore responsible for serious human rights violations in Iran.",14-11-2022
TAHERI Ahmad,male,"Brigadier-General Ahmed Taheri has been the advisor to the Head of the Iranian Law Enforcement Forces (LEF) (EU-listed Brigadier-General Radan) since autumn 2023. He was Head of the Iranian LEF in the Sistan and Baluchestan province during the 2022/2023 protests.; The security forces in Sistan and Baluchestan province used brutal violence against peaceful protestors in the protests in autumn 2022, including against children.; As Head of the Iranian LEF in Sistan and Baluchestan province, Ahmed Taheri is therefore responsible for serious human rights violations in Iran.",14-11-2022
HOSSEINI Seyed Sadegh,male,"General Seyed Sadegh Hosseini is the head of the Islamic Revolutionary Guards Corps (IRGC) in Kurdistan province.; Kurdistan province has seen severe violence by Iranian security forces, including the IRGC, against the 2022 protest wave. Moreover, the IRGC uses Kurdistan province as a base to conduct military operations against Iraqi Kurdistan, which led to the death of more than a dozen non-combatants.; Seyed Sadegh Hosseini is among those responsible for the IRGC violence against protestors in Kurdistan province. He is therefore responsible for serious human rights violations in Iran.",14-11-2022
RAJABPOUR Sereng Hossein,male,"Colonel Sereng Hossein Rajabpour is the commander of the Beit al-Maqdis force (IRGC in Kurdistan) in the city of Sanandaj in the province of Kurdistan.; Kurdistan province has seen severe violence by Iranian security forces, including the IRGC, against the 2022 protest wave, especially in the city of Sanandaj.; Sereng Hossein Rajabpour is among those responsible for the violence against protestors in Kurdistan province. He is therefore responsible for serious human rights violations in Iran.",14-11-2022
ASL Gholamhossein Mohammadi,male,"Gholamhossein Mohammadi Asl is the head of the Islamic Revolutionary Guards Corps (IRGC) in Ardabil province – a province with an Azeri ethnic minority.; Iranian security forces, including the IRGC, committed serious human rights violations in Ardabil province during the 2022 protests. Reports show that an Iranian schoolgirl named Asra Panahi was beaten to death by security forces for refusing to sing the pro-regime anthem.; Gholamhossein Mohammadi Asl is therefore responsible for serious human rights violations in Iran.",14-11-2022
ABDI Shakar,male,"Colonel Shakar Abdi is the deputy head of the Islamic Revolutionary Guards Corps (IRGC) in Ardabil province – a province with an Azeri ethnic minority.; Iranian security forces, including the IRGC, committed serious human rights violations in Ardabil province during the 2022 protests. Reports show that an Iranian schoolgirl named Asra Panahi was beaten to death by security forces for refusing to sing the pro-regime anthem.; Shakar Abdi is therefore responsible for serious human rights violations in Iran.",14-11-2022
HASSANZADEH Hasan,male,"Brigadier General Hasan Hassanzadeh is the head of the Islamic Revolutionary Guards Corps (IRGC) in Tehran province.; Iranian security forces, including the IRGC, committed serious human rights violations in Tehran province during the 2022 protests.; Hasan Hassanzadeh is therefore responsible for serious human rights violations in Iran.",14-11-2022
AGHAEI Morteza Mir (a.k.a. MIRAGHAEI Morteza),male,"Colonel Morteza Mir Aghaei is the head of the Basij in the city of Sanandaj in the province of Kurdistan.; Iranian security forces, including the IRGC and its Basij, committed serious human rights violations in Sanandaj during the 2022 protests.; Morteza Mir Aghaei is therefore responsible for serious human rights violations in Iran.",14-11-2022
MOHAMMADIAN Abbas-Ali,male,"Abbas-Ali Mohammadian has been the head of Iran’s Law Enforcement Forces (LEF) in Alborz (Karaj) province since 2017.; Alborz (Karaj) is a province where major demonstrations have been taking place since September 2022 that have been met with excessive police violence. Security forces have frequently shot directly at peaceful protestors, leading to many deaths, including of children.; As head of the LEF in Alborz (Karaj) province, Abbas-Ali Mohammadian is therefore responsible for serious human rights violations in Iran.",14-11-2022
JAHANBAKHSH Rahim,male,Brigadier-General Rahim Jahanbakhsh is the head of Iran’s Law Enforcement Forces (LEF) in West Azerbaijan province.; West Azerbaijan is a province where major demonstrations have been taking place since September 2022 that have been met with excessive police violence.; He is therefore responsible for serious human rights violations in Iran.,14-11-2022
SHEIKHNEJAD Hassan,male,"Colonel Hassan Sheikhnejad is the head of Iran’s Law Enforcement Forces (LEF) in Urumeh, the capital of West Azerbaijan province.; In Urumeh, Iranian security forces committed serious human rights violations during the 2022 protests.; He is therefore responsible for serious human rights violations in Iran.",14-11-2022
SAADATI Mahmoud,male,"Colonel Mahmoud Saadati is the head of Iran’s Law Enforcement Forces (LEF) in the city of Zahedan in Sistan and Baluchestan province.; In Zahedan, Iranian security forces committed serious human rights violations during the 2022 protests.; Mahmoud Saadati is therefore responsible for serious human rights violations in Iran.",14-11-2022
MIRZAI Morteza,male,"Brigadier-General Morteza Mirzai is the head of Iran’s Law Enforcement Forces (LEF) in Mazandaran province.; In Mazandaran province, Iranian security forces committed serious human rights violations during the 2022 protests.; Morteza Mirzai is therefore responsible for serious human rights violations in Iran.",14-11-2022
MALIKI Azizullah,male,"General Azizullah Maliki is the head of Iran’s Law Enforcement Forces (LEF) in Gilan province.; In 2022, Azizullah Maliki directed the violent crackdown against the protests in Gilan province. He was vocal in the media, vehemently defending the violent reaction of the security forces to the protests in September and October 2022.; As head of the LEF in Gilan province, Azizullah Maliki is therefore responsible for serious human rights violations in Iran.",14-11-2022
MORADI Ali-Reza,male,"Ali-Reza Moradi has been the head of Iran’s Law Enforcement Forces (LEF) in the city of Sanandaj in Kurdistan province since December 2018.; In that position, Ali-Reza Moradi reports to the general staff of the armed forces in Iran, directly under the authority of the Supreme Leader of the Islamic Republic of Iran.; Moradi has been responsible for the mass arrest of protesters and ordered the use of lethal weapons against unarmed protesters during the November 2019 nationwide protests in Sanandaj, which resulted in the death of at least two protesters.; Blatant and severe human rights violations by the police forces in Sanandaj, such as the indiscriminate shooting with live ammunition at peaceful protesters –including children, have been documented since protests surrounding the death of Mahsa Amini started mid-September 2022.; Moradi has also publicly advocated a harsh approach towards persons participating in the demonstrations. Since the beginning of the 2022 demonstrations, police forces have arbitrarily detained numerous human rights defenders and journalists.; Ali-Reza Moradi is therefore responsible for serious human rights violations in Iran.",14-11-2022
RAFIEI Enayatollah,male,"Captain Enayatollah Rafiei is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). He is the commander of the squad that arrested Mahsa Amini.; On 13 September 2022, Rafiei and three other members of his squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As commander of the squad, Captain Enayatollah Rafiei is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",14-11-2022
KHOSHNAMVAND Ali,male,"Sergeant Ali Khoshnamvand is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). He is one of the officers in the squad that arrested Mahsa Amini.; On 13 September 2022, Khoshnamvand and three other members of a squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As one of the officers who arrested Amini, Sergeant Ali Khoshnamvand is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",14-11-2022
